@relation segment

@attribute original numeric
@attribute Sobel_filter_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Entropy_1_32 numeric
@attribute Entropy_1_64 numeric
@attribute Entropy_1_128 numeric
@attribute Entropy_1_256 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Entropy_2_32 numeric
@attribute Entropy_2_64 numeric
@attribute Entropy_2_128 numeric
@attribute Entropy_2_256 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Entropy_4_32 numeric
@attribute Entropy_4_64 numeric
@attribute Entropy_4_128 numeric
@attribute Entropy_4_256 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Entropy_8_32 numeric
@attribute Entropy_8_64 numeric
@attribute Entropy_8_128 numeric
@attribute Entropy_8_256 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Mean_16.0 numeric
@attribute Median_16.0 numeric
@attribute Entropy_16_32 numeric
@attribute Entropy_16_64 numeric
@attribute Entropy_16_128 numeric
@attribute Entropy_16_256 numeric
@attribute class {'class 1','class 2'}

@data
0,2,0.037132,2.001616,0.111111,0,0.503258,0.503258,0.503258,0.503258,0.146935,1.97452,-0.109803,0.238095,0,0.856996,0.856996,0.856996,0.856996,0.255285,1.420862,-0.218154,-0.108351,0.350877,0,1.100538,1.100538,1.100538,1.100538,0.297924,0.56103,-0.260793,-0.150989,-0.042639,0.29108,0,0.972998,0.972998,0.972998,0.972998,0.212524,0.111234,-0.175392,-0.065589,0.042762,0.0854,0.130435,0,0.553378,0.553378,0.553378,0.553378,'class 2'
0,1.414214,0.001638,1.4167,0.111111,0,0.503258,0.503258,0.503258,0.503258,0.085625,1.498313,-0.083987,0.238095,0,0.856996,0.856996,0.856996,0.856996,0.249874,1.241241,-0.248236,-0.164249,0.350877,0,1.046445,1.046445,1.046445,1.046445,0.305122,0.486144,-0.303485,-0.219497,-0.055249,0.295775,0,0.991553,0.991553,0.991553,0.991553,0.218001,0.091903,-0.216363,-0.132376,0.031873,0.087122,0.130435,0,0.553378,0.553378,0.553378,0.553378,'class 2'
0,0,0.000003,0.123609,0,0,0,0,0,0,0.015939,0.577299,-0.015935,0.095238,0,0.453716,0.453716,0.453716,0.453716,0.065432,0.491009,-0.065429,-0.049494,0.070175,0,0.426229,0.426229,0.426229,0.426229,0.124182,0.432192,-0.124179,-0.108244,-0.05875,0.173709,0,0.693385,0.693385,0.693385,0.693385,0.152168,0.158819,-0.152165,-0.136229,-0.086736,-0.027985,0.132919,0,0.571708,0.571708,0.571708,0.571708,'class 2'
0,0,0.000003,0.123611,0,0,0,0,0,0,0.01605,0.598155,-0.016046,0.095238,0,0.453716,0.453716,0.453716,0.453716,0.082658,0.634232,-0.082654,-0.066608,0.105263,0,0.640629,0.640629,0.640629,0.640629,0.155339,0.490182,-0.155336,-0.13929,-0.072682,0.197183,0,0.766425,0.766425,0.766425,0.766425,0.166049,0.158017,-0.166046,-0.149999,-0.083391,-0.01071,0.130435,0,0.557295,0.557295,0.557295,0.557295,'class 2'
0,0,0,0.057312,0,0,0,0,0,0,0.006304,0.428126,-0.006304,0.047619,0,0.276195,0.276195,0.276195,0.276195,0.092477,0.762225,-0.092477,-0.086173,0.192982,0,0.687294,0.687294,0.687294,0.687294,0.18471,0.525278,-0.18471,-0.178406,-0.092233,0.215962,0,0.833995,0.833995,0.833995,0.833995,0.178953,0.151732,-0.178953,-0.172649,-0.086476,0.005757,0.130435,0,0.553378,0.553378,0.553378,0.553378,'class 2'
0,0,0,0.055023,0,0,0,0,0,0,0.006027,0.402147,-0.006027,0.047619,0,0.276195,0.276195,0.276195,0.276195,0.100068,0.844625,-0.100068,-0.094041,0.210526,0,0.770956,0.770956,0.770956,0.770956,0.210275,0.529219,-0.210274,-0.204248,-0.110207,0.244131,0,0.865371,0.865371,0.865371,0.865371,0.190272,0.140537,-0.190272,-0.184246,-0.090204,0.020002,0.130435,0,0.553378,0.553378,0.553378,0.553378,'class 2'
0,0,0.000003,0.077536,0,0,0,0,0,0,0.011689,0.462754,-0.011686,0.047619,0,0.276195,0.276195,0.276195,0.276195,0.107144,0.847719,-0.107141,-0.095455,0.22807,0,0.876723,0.876723,0.876723,0.876723,0.230946,0.496036,-0.230943,-0.219256,-0.123802,0.248826,0,0.906662,0.906662,0.906662,0.906662,0.19949,0.125399,-0.199487,-0.1878,-0.092346,0.031456,0.130435,0,0.553378,0.553378,0.553378,0.553378,'class 2'
0,0,0,0.077604,0,0,0,0,0,0,0.010558,0.466766,-0.010558,0.095238,0,0.453716,0.453716,0.453716,0.453716,0.120114,0.766778,-0.120114,-0.109556,0.210526,0,0.952242,0.952242,0.952242,0.952242,0.246574,0.424447,-0.246574,-0.236016,-0.12646,0.276995,0,0.945477,0.945477,0.945477,0.945477,0.206203,0.107738,-0.206203,-0.195645,-0.086089,0.040371,0.130435,0,0.553378,0.553378,0.553378,0.553378,'class 2'
0,1.414214,0.001631,1.357087,0.111111,0,0.503258,0.503258,0.503258,0.503258,0.05843,1.03487,-0.056799,0.095238,0,0.453716,0.453716,0.453716,0.453716,0.152783,0.643958,-0.151152,-0.094353,0.22807,0,0.847737,0.847737,0.847737,0.847737,0.257592,0.319752,-0.255961,-0.199162,-0.104809,0.29108,0,1.00052,1.00052,1.00052,1.00052,0.210137,0.089619,-0.208505,-0.151707,-0.057354,0.047455,0.130435,0,0.553378,0.553378,0.553378,0.553378,'class 2'
0,3.162278,0.038756,2.865569,0.222222,0,0.764205,0.764205,0.764205,0.764205,0.176434,1.500643,-0.137678,0.190476,0,0.702467,0.702467,0.702467,0.702467,0.201037,0.441858,-0.16228,-0.024603,0.210526,0,0.912316,0.912316,0.912316,0.912316,0.264566,0.193804,-0.22581,-0.088132,-0.063529,0.309859,0,1.00875,1.00875,1.00875,1.00875,0.211145,0.0741,-0.172389,-0.034711,-0.010108,0.053421,0.130435,0,0.553378,0.553378,0.553378,0.553378,'class 2'
