Area,CD19 (Opal 480) Mean,CD19_Mean,CD3 (Opal 540) Mean,CD3_Mean,CD68 (Opal 520) Mean,CD68_Mean,CD8 (Opal 650) Mean,CD8_Mean,CK (Opal 780) Mean,CK_Mean,Dapi (DAPI) Mean,IER3 (Opal 620) Mean,Ki67 (Opal 690) Mean,cell_id,cell_type_FlowSOM_QC,cell_type_auto_int,cell_type_inform_int,cell_type_manual_int,pStat3 (Opal 570) Mean,sample_id_int,tsne_1,tsne_2
62,0,0,0.05,0,2.139,0.012,7.483,0.762,0.38,0.198,3.028,0.056,1.933,115,3,3,6,5,0.556,1,20.1075,55.9951
100,0,0,0.121,0,0.766,0,3.861,0.456,0.119,0,3.946,0.097,0.113,116,3,3,6,6,0.229,1,15.296,50.4318
53,0,0,1.238,0.593,1.22,0,0.571,0,0.524,0.361,4.918,0.2,0.204,118,2,2,6,2,0.11,1,0.263476,45.4433
39,0,0,0.291,0,0.949,0,0.52,0,0.512,0.506,7.346,0.22,0.529,139,5,5,6,5,0.323,1,22.811,-32.985
89,0,0,0.289,0,0.963,0,0.483,0,0.539,0.312,6.513,0.211,0.674,140,5,5,6,5,0.24,1,23.0501,-32.8545
114,0,0,0.229,0,2.255,0.002,0.515,0,0.394,0.151,3.665,0.331,2.213,143,5,5,6,5,0.154,1,29.5745,21.5007
134,0,0,0.205,0,2.266,0.049,0.602,1.89E-05,0.517,0.336,4.464,0.214,1.077,144,5,5,6,5,0.165,1,28.2429,22.4406
52,0,0,0.285,0,0.849,0,0.436,0,0.525,0.206,5.093,0.135,0.242,148,5,5,6,5,0.284,1,18.6214,-36.7998
97,0,0,0.425,2.61E-05,1.834,2.17E-05,0.658,0.0001164,1.125,0.905,5.71,0.284,0.191,149,5,5,6,5,0.352,1,47.128,-15.1676
192,0.015,0.002,0.59,0.13,13.554,0.636,8.453,0.796,0.214,0,3.97,0.495,0.262,150,3,3,6,3,0.986,1,57.7109,-23.2862
318,0.001,3.98E-06,0.188,0.002,10.484,0.43,1.343,0.112,0.374,0.083,4.577,0.279,1.044,180,4,4,6,4,0.276,1,63.5335,-11.1341
413,0.002,9.17E-05,0.466,0.083,9.417,0.401,1.421,0.12,0.271,0.055,3.328,0.408,0.367,196,4,4,6,4,0.296,1,64.4143,-5.79501
155,0,0,0.109,8.16E-06,12.736,0.547,0.865,0.0002588,0.82,0.488,4.699,0.198,0.59,198,4,4,6,6,0.306,1,61.3369,-18.9813
304,0.027,0.04,0.329,0.0005247,3.141,0.085,2.714,0.284,0.145,0,5.545,0.976,6.951,205,3,3,6,6,0.316,1,22.3825,46.2184
165,0,0,0.226,1.15E-05,15.251,0.744,0.862,7.67E-06,0.935,0.428,9.487,0.3,0.242,212,4,4,6,6,0.35,1,59.9544,-23.8962
272,0.003,0.002,0.421,0.0001476,7.627,0.336,1.275,0.002,0.177,9.29E-06,3.986,0.777,0.363,220,4,4,6,4,0.349,1,59.4449,6.10911
404,0.004,0.002,0.298,0.003,6.58,0.19,0.93,0.004,0.453,0.117,4.279,0.457,0.169,251,5,4,6,5,0.256,1,59.7467,13.4793
147,0,0,0.22,0.007,8.26,0.147,0.75,0,0.963,0.624,4.707,0.366,0.145,257,5,5,6,5,0.332,1,63.1062,-1.07042
223,0,0,0.21,0.023,10.208,0.37,0.471,0,0.412,0.215,2.221,0.123,0.289,260,4,4,6,4,0.285,1,61.9521,-10.4048
289,0.001,0.0007391,0.265,0,1.448,0.002,0.635,0.0003288,0.467,0.221,2.592,0.355,0.174,271,5,5,6,5,0.13,1,14.7162,22.7257
274,0.003,0.009,0.455,0.003,7.925,0.382,1.713,0.003,0.685,0.233,1.438,1.131,0.281,286,4,4,6,4,0.448,1,58.8051,5.9683
200,0,0,1.02,0.389,2.552,0.027,2.18,0.306,0.299,0.178,7.635,0.103,8.199,291,3,3,6,3,0.43,1,21.7062,44.3008
127,0,0,1.002,0.419,2.16,0.002,4.477,0.712,0.409,0.193,4.881,0.144,0.262,295,3,3,6,3,0.519,1,19.1775,50.8896
395,0,0,0.128,0,13.729,0.541,0.485,0,0.468,0.211,3.692,0.09,0.293,296,4,4,6,4,0.218,1,60.4139,-21.1095
94,0,0,1.884,0.849,1.367,1.35E-05,4.807,0.647,0.345,0.323,6.498,0.142,0.94,316,3,3,6,3,0.437,1,18.8784,51.6845
183,0,0,1.447,0.539,1.481,0.000159,0.444,0,0.716,0.283,2.395,0.194,0.33,323,2,2,6,2,0.111,1,18.7798,36.9313
342,0,0,0.166,0,3.948,0.029,0.345,0,0.303,0.128,4.958,0.105,0.227,373,5,5,6,5,0.152,1,51.1512,37.237
226,0,0,1.368,0.525,0.952,0,0.35,0,0.298,0.089,6.208,0.131,8.387,381,2,2,6,2,0.218,1,-0.709022,47.4643
183,0,0,0.545,0.048,1.76,0.0002448,6.505,0.745,0.432,0.137,4.497,0.088,1.349,411,3,3,6,3,0.6,1,19.4943,55.1151
254,0,9.96E-06,0.316,0,1.817,0.002,0.629,4.98E-06,0.327,0.167,3.571,0.328,0.989,419,5,5,6,5,0.212,1,22.6401,21.6673
424,0,0,0.155,0,8.285,0.439,0.418,0,0.377,0.299,4.612,0.093,0.28,475,4,4,6,4,0.14,1,62.1924,-0.303634
189,0,0,0.171,0,0.808,0.002,0.317,0,0.263,0.106,6.212,0.099,0.112,487,5,5,6,5,0.122,1,2.24764,-5.60913
264,0,0.0003019,0.339,0,2.097,0.001,0.785,0.0002277,0.407,0.188,1.756,0.477,0.249,497,5,5,6,5,0.139,1,25.3855,23.0402
34,0,0,0.257,4.96E-05,22.242,0.753,0.729,0.002,0.272,0.095,2.988,0.064,0.728,534,4,4,6,4,0.407,1,58.7373,-28.1596
159,0,0,0.167,0,2.896,0.012,0.617,7.95E-06,0.585,0.65,2.342,0.253,0.963,582,5,5,6,5,0.158,1,34.5597,31.9827
145,0,0,2.36,0.7,1.117,0,0.363,0,0.578,0.351,2.499,0.182,0.216,595,2,2,6,2,0.075,1,2.19905,51.003
290,0,5.82E-05,0.276,0.0003469,2.797,0.021,0.879,0.0002744,0.451,0.12,2.828,0.406,0.168,616,5,5,6,5,0.475,1,30.4047,35.6887
67,0,0,0.188,0,1.671,0.069,0.425,0,0.394,0.258,4.37,0.128,0.235,626,5,5,6,5,0.147,1,43.5206,-5.99304
119,0,0,0.27,0,0.982,1.06E-05,0.529,0.006,0.353,0.306,4.381,0.101,0.163,631,5,5,6,5,1.324,1,26.2456,-26.8004
326,0,0,0.395,8.34E-05,6.07,0.201,0.864,3.68E-05,0.467,0.332,3.585,0.421,0.281,642,5,4,6,5,0.221,1,59.4847,16.1975
256,0.013,0.026,0.311,3.87E-05,7,0.166,2.678,0.258,0.191,0.002,1.266,0.86,0.361,668,3,3,6,6,0.388,1,56.5451,13.4746
291,0.001,2.50E-05,0.143,0,1.255,0,0.48,0,0.469,0.299,3.534,0.293,3.56,680,5,5,6,5,0.124,1,33.6792,-20.4837
150,0,0,0.242,0,0.979,0,0.476,0,0.713,0.396,5.142,0.208,0.13,702,5,5,6,5,0.178,1,25.6197,-42.6416
328,0.001,7.31E-05,0.345,0.024,6.972,0.31,0.701,1.54E-05,0.355,0.083,2.104,0.524,0.221,706,4,4,6,4,0.178,1,59.9833,11.3935
418,0,0,0.111,1.21E-05,5.824,0.237,2.262,0.211,0.385,0.26,4.29,0.134,0.216,708,5,4,6,5,0.238,1,56.3894,15.6715
196,0,0,1.212,0.449,5.784,0.18,8.431,0.759,0.319,0.089,4.568,0.061,0.47,715,3,3,6,3,0.993,1,21.8238,55.7778
157,0,0,0.176,2.42E-05,0.815,0,2.533,0.236,0.126,0,4.601,0.111,0.209,730,3,3,6,6,0.242,1,11.9367,44.6408
218,0.001,0.002,0.226,4.31E-05,5.026,0.113,5.056,0.513,0.177,0,3.603,0.667,0.907,737,3,3,6,6,0.683,1,23.1195,50.4114
331,0.016,0.004,0.294,0.0001026,6.438,0.314,1.376,0.002,0.206,0.003,1.897,0.809,0.372,742,4,4,6,4,0.855,1,58.2552,13.8806
435,0,0,0.154,0.0005728,14.73,0.669,0.962,0.047,0.374,0.199,2.93,0.072,0.321,753,4,4,6,4,0.232,1,60.1355,-23.1315
48,0,0,0.462,2.64E-05,1.294,0.0001054,0.464,0,0.879,0.594,5.709,0.248,0.155,783,5,5,6,5,0.176,1,37.2583,-34.7738
475,0.001,1.06E-05,0.238,6.66E-06,8.367,0.287,0.851,6.91E-05,0.269,0.0007532,4.21,0.3,0.287,808,4,4,6,6,0.249,1,63.4905,-0.836308
140,0,0,0.17,0,20.453,0.783,0.45,2.06E-05,0.131,0,3.415,0.057,0.478,813,4,4,6,4,0.226,1,58.9148,-27.7089
211,0,0,1.417,0.65,1.538,0.002,0.367,0,0.5,0.325,5.297,0.137,0.361,816,2,2,6,2,0.061,1,19.1544,36.8754
257,0,0,0.133,0,2.873,0.064,2.413,0.301,0.242,0.044,2.414,0.176,0.26,842,3,3,6,6,0.517,1,22.23,45.5381
166,0,0,0.21,0,2.23,0.002,0.564,7.62E-06,0.597,0.665,1.992,0.279,0.151,868,5,5,6,5,0.138,1,28.8494,20.6625
286,0.002,0.0002828,0.262,4.42E-06,1.83,0.002,0.566,0.0004587,0.409,0.233,3.406,0.327,0.117,908,5,5,6,5,0.567,1,23.3315,21.1683
290,0,0,0.695,0.042,1.016,0.0001205,0.442,0,0.281,0.132,6.493,0.138,1.37,929,5,5,6,5,0.097,1,-1.07429,43.534
255,0,0,0.375,9.46E-05,2.017,0.002,0.41,0,0.343,0.1,3.955,0.209,0.113,932,5,5,6,5,0.661,1,29.7918,13.4514
261,0,0.0005963,0.314,0.025,1.742,8.71E-05,2.29,0.217,0.322,0.126,3.85,0.336,5.411,939,3,3,6,5,0.305,1,14.027,42.9902
110,0,0,0.338,0.008,1.351,0,0.469,0,0.302,0.213,4.721,0.157,0.131,947,5,5,6,5,0.523,1,33.0096,-16.7287
396,0.012,0.006,0.409,3.96E-05,6.727,0.25,1.336,1.12E-05,0.212,0.0001243,1.257,0.967,0.342,949,4,4,6,6,0.485,1,58.3355,13.0921
228,0,0,0.765,0.005,6.033,0.157,1.274,4.99E-05,0.514,0.206,6.297,1.083,0.363,962,5,5,6,5,0.204,1,58.1468,15.6506
76,0,9.99E-05,0.474,4.16E-05,6.133,0.21,1.719,0,0.975,0.696,2.213,0.816,0.199,972,5,5,6,5,0.443,1,57.5693,15.2038
166,0.001,0.0006961,0.29,0,1.571,0.002,0.677,7.64E-05,0.297,0.102,5.753,0.306,0.112,978,5,5,6,5,0.74,1,17.583,22.604
361,0.002,0.001,0.618,0.024,2.641,0.036,1.71,0.001,0.548,0.251,1.685,1.006,0.326,981,5,5,6,5,0.347,1,23.2392,43.2817
425,0.009,0.008,0.512,0.094,1.32,7.15E-05,1.067,0.0008543,0.375,0.207,1.935,0.833,0.151,985,5,5,6,5,0.249,1,13.9071,27.6988
263,0,0,0.168,0,2.608,0.016,0.363,0,0.382,0.223,3.385,0.144,0.519,1014,5,5,6,5,0.097,1,35.1012,25.9386
299,0.004,0.001,0.561,0.058,1.547,0.003,0.802,7.22E-05,0.609,0.359,3.169,0.494,0.15,1017,5,5,6,5,0.19,1,15.0932,24.0616
146,0,0,0.244,0,12.628,0.711,0.76,0,0.535,0.158,3.185,0.362,0.413,1022,4,4,6,5,0.258,1,61.1801,-18.6875
164,0.002,5.38E-05,0.431,0,6.247,0.388,1.014,0.007,0.241,0.004,4.538,0.775,0.383,1023,4,4,6,4,0.286,1,59.2148,14.9964
270,0,8.26E-05,0.163,0,1.681,9.10E-05,0.564,4.05E-05,0.513,0.348,1.652,0.287,0.835,1039,5,5,6,5,0.134,1,44.7433,-7.82905
333,0,0,0.349,0.013,6.312,0.199,0.606,2.47E-05,0.705,0.306,2.89,0.279,0.143,1051,5,4,6,5,0.316,1,61.4881,14.6244
238,0.001,0.0004554,0.295,0,4.45,0.129,2.06,0.064,0.58,0.182,1.556,1.076,0.254,1052,5,5,6,5,0.593,1,54.8604,18.5857
256,0,0,1.782,0.654,0.78,0,0.404,0,0.311,0.199,5.556,0.147,0.323,1057,2,2,6,2,0.058,1,-0.0192855,49.6907
273,0.006,0.01,0.197,0,2.438,0.004,0.564,0.002,0.536,0.393,1.59,0.255,0.985,1066,5,5,6,5,0.166,1,30.7134,25.3987
294,0,7.88E-06,0.194,0,3.758,0.102,0.546,4.45E-05,0.389,0.245,3.135,0.195,2.698,1068,5,5,6,5,0.104,1,43.8988,41.7868
240,0.006,0.002,0.345,0,1.435,0.003,1.048,0.0001284,0.648,0.334,1.565,0.841,0.147,1071,5,5,6,5,0.386,1,15.2858,26.4289
221,0,0,0.131,0,3.424,0.154,0.363,0,0.299,0.164,3.429,0.089,0.165,1082,5,5,6,5,0.176,1,42.0844,38.1293
376,0.001,0.0003696,0.263,2.75E-05,9.186,0.28,1.953,0.0005925,0.655,0.325,1.824,1.193,0.335,1092,4,4,6,5,1.126,1,64.74,-5.72855
134,0.004,0.002,0.313,0.0006043,2.493,0.019,2.092,0.002,0.686,0.303,2.022,1.315,0.355,1113,5,5,6,5,1.059,1,22.6532,43.5816
134,0,0,0.084,0,10.338,0.575,0.344,0,0.176,3.20E-05,3.779,0.032,0.236,1117,4,4,6,4,0.173,1,61.5015,-10.9781
387,0.001,9.93E-05,0.37,2.78E-05,12.335,0.609,1.351,0.0002277,0.393,0.052,4.908,0.789,0.318,1133,4,4,6,4,0.376,1,62.134,-17.9977
329,0.002,0.0006184,0.308,0,4.659,0.139,0.891,3.84E-06,0.651,0.449,10.488,0.583,0.219,1141,5,5,6,5,0.165,1,54.3715,29.5076
289,0.002,0.001,0.353,0.0007722,3.754,0.044,1.004,0.001,0.295,0.165,2.111,0.818,0.198,1178,5,5,6,5,0.308,1,32.0066,41.012
216,0,0,0.13,0,1.084,0,0.552,0,0.284,0.131,4.394,0.228,4.928,1203,5,5,6,5,0.11,1,10.4023,19.1363
339,0,6.90E-05,0.319,2.63E-05,4,0.127,1.141,0.003,0.422,0.123,5.947,0.718,0.339,1209,5,4,6,5,0.368,1,31.6063,41.6127
129,0,0,0.15,0,1.564,0,0.428,0,0.487,0.346,2.716,0.248,0.357,1211,5,5,6,5,0.117,1,42.0542,-9.35674
187,0,0,0.318,2.36E-05,4.508,0.135,1.153,0.005,0.753,0.448,5.366,0.61,0.162,1227,5,5,6,5,0.248,1,53.3424,29.2321
283,0,0,0.505,0.135,1.696,0.046,0.309,0,0.347,0.278,5.012,0.112,0.441,1252,5,5,6,5,0.083,1,40.8303,-4.65031
131,0,4.82E-05,0.21,0,1.106,1.93E-05,0.82,0.056,0.529,0.501,4.717,0.302,0.191,1266,5,5,6,5,0.216,1,8.49486,22.6951
160,0,0,0.303,0,2.208,0.002,0.704,0.004,0.352,0.168,2.311,0.381,0.172,1329,5,5,6,5,0.111,1,26.096,24.4137
133,0.119,0.269,0.248,0,3.62,0.107,1.118,0.0002604,0.188,0.011,4.018,0.354,0.162,1336,1,1,6,6,0.293,1,31.6768,40.7428
373,0,0,0.085,0,15.859,0.568,0.403,0,0.377,0.321,2.904,0.064,0.514,1351,4,4,6,4,0.285,1,59.8959,-24.8038
229,0,0,0.313,0.055,2.683,0.05,0.458,1.10E-05,0.515,0.48,4.311,0.154,2.719,1362,5,5,6,5,0.144,1,33.358,27.3096
97,0,0,0.175,0,6.438,0.241,0.374,0,0.346,0.322,5.748,0.108,0.267,1421,5,4,6,5,0.121,1,62.7595,13.8553
244,0.112,0.314,0.174,0,0.958,0.004,0.619,6.47E-05,0.205,0.052,6.314,0.169,0.32,1422,1,1,6,1,0.106,1,8.18057,15.4039
480,0,4.21E-05,0.251,0,1.334,0.006,1.232,0.092,0.352,0.167,6.032,0.329,0.138,1423,5,5,6,5,0.139,1,15.0476,28.101
229,0,0,0.256,0,1.509,0.0001906,0.492,0,0.386,0.206,3.031,0.141,0.113,1439,5,5,6,5,0.183,1,40.8,-10.6964
199,0,0,0.178,0,2.914,0.015,0.396,0,0.605,0.445,2.076,0.176,0.08,1447,5,5,6,5,0.138,1,35.392,31.7305
150,0,0,0.145,0,5.905,0.198,0.369,0,0.345,0.189,2.634,0.092,0.146,1585,5,5,6,5,0.127,1,62.5517,18.4945
299,0.002,0.007,0.11,0,7.129,0.275,0.539,4.23E-06,0.432,0.163,4.576,0.071,4.541,1637,4,4,6,5,0.156,1,61.8982,8.63031
587,0,0,0.185,0,7.492,0.292,0.377,0,0.425,0.291,3.98,0.104,0.13,1644,4,4,6,5,0.133,1,62.2624,5.49009
346,0.078,0.217,0.169,7.31E-06,1.284,0.006,0.554,0.002,0.305,0.062,5.737,0.104,0.239,1651,1,1,6,6,0.13,1,14.9404,18.9326
208,0,0,0.105,0,0.823,6.08E-06,0.499,0.01,0.413,0.111,4.132,0.154,0.273,1658,5,5,6,5,0.095,1,-4.84981,20.7155
59,0,0,0.102,0,1.077,0,0.375,0,0.356,0.267,4.656,0.09,0.1,1678,5,5,6,5,0.157,1,24.0606,-24.6897
68,0,0,0.152,0,0.795,0,0.315,0,0.36,0.287,4.63,0.082,0.377,1705,5,5,6,5,0.096,1,-2.92906,-22.9413
177,0,0,0.294,0.029,2.569,0.089,0.387,0,0.345,0.221,4.942,0.09,0.094,1739,5,5,6,5,0.186,1,34.6999,25.6615
52,0,0,0.722,0.214,1.496,0.015,0.306,0,0.322,0.156,4.417,0.12,0.1,1758,2,2,6,5,0.101,1,24.6146,9.43962
160,0,0,0.131,0,0.936,0,0.348,0,0.359,0.307,3.046,0.097,0.129,1764,5,5,6,5,0.073,1,18.8598,-27.8813
338,0,0,0.373,0.034,1.613,0.015,0.372,0,0.352,0.217,6.017,0.147,0.104,1774,5,5,6,5,0.295,1,38.7993,-8.99696
180,0,0,0.551,0.012,7.702,0.347,0.442,0,0.423,0.218,5.386,0.115,0.207,1792,4,4,6,5,0.119,1,61.1324,4.03741
204,0,0,0.215,0,1.656,0.002,0.432,0,0.551,0.315,3.235,0.179,0.889,1803,5,5,6,5,0.123,1,44.146,-9.55712
172,0,0,0.457,0.101,2.45,0.012,0.404,0,0.123,1.35E-05,5.469,0.084,0.109,1875,2,2,6,6,0.1,1,26.3882,32.0993
285,0,0,2.579,0.631,0.971,0.002,0.387,0,0.43,0.218,5.268,0.108,0.098,1914,2,2,6,2,0.098,1,1.92337,51.4183
197,0,0,0.296,0,6.366,0.402,0.628,0.017,0.126,0,4.308,0.116,0.127,1937,4,4,6,4,0.169,1,60.4166,14.4123
79,0,0,3.203,0.855,0.756,0,2.177,0.143,0.126,0,8.504,0.114,0.073,1954,2,2,6,2,0.334,1,17.4674,42.9853
90,0,0,0.337,0.0004347,1.356,0,4.307,0.561,0.193,0.003,10.232,0.126,8.16,1956,3,3,6,6,0.442,1,16.6508,51.4232
61,0,0,0.225,0,1.026,0,0.463,0,0.853,0.459,3.02,0.19,0.566,1957,5,5,6,5,0.114,1,34.8194,-35.3007
90,0,0,0.598,0.222,0.788,0,2.026,0.282,0.133,0,2.558,0.163,0.181,1962,3,3,6,6,0.204,1,10.4246,41.9012
60,0,0,0.255,0,0.922,0,0.436,0,0.511,0.559,3.728,0.173,0.183,1967,5,5,6,5,1.469,1,22.3195,-32.4528
40,0,0,0.436,0,2.431,0.023,0.474,0.0001422,0.664,0.498,3.633,0.218,0.13,1976,5,5,6,5,0.344,1,31.0609,24.5818
36,0,0,0.082,0,0.716,0,0.368,0,0.355,0.217,4.785,0.085,1.408,1979,5,5,6,5,0.198,1,-6.43453,-24.3832
57,0,0,0.336,0,6.363,0.276,0.642,0.006,0.35,0.173,4.198,0.127,0.177,1980,4,4,6,5,0.157,1,60.56,14.3084
64,0,0,0.803,0.12,1.027,0,0.466,0,0.363,0.173,5.424,0.159,0.843,1981,5,5,6,5,0.132,1,-0.855846,44.0874
59,0,0,1.514,0.673,0.949,0,0.407,0,0.398,0.35,4.144,0.169,0.134,1987,2,2,6,2,0.026,1,-0.388353,48.036
40,0,0,1.312,0.507,0.678,0,0.418,0,0.418,0.458,4.308,0.133,1.251,1995,2,2,6,6,0.053,1,-1.45451,47.8963
35,0,0,0.255,0,1.323,0,0.55,0,0.466,0.641,3.831,0.137,0.162,2008,5,5,6,5,0.055,1,39.8742,-17.7584
63,0,0,2.193,0.591,0.824,0,0.527,0,0.584,0.396,4.771,0.176,0.105,2009,2,2,6,2,0.071,1,1.39754,50.7345
50,0,0,0.141,0,0.891,0,0.352,0,0.402,0.27,4.403,0.126,1.715,2010,5,5,6,5,0.135,1,18.0176,-28.9606
34,0,0,0.216,0,0.895,0,0.413,0,0.639,0.587,5.822,0.168,0.534,2011,5,5,6,5,0.164,1,23.4195,-41.7356
141,0,0,0.442,0.008,0.96,8.37E-05,3.965,0.448,0.111,0,3.508,0.081,0.061,13,3,3,6,6,0.364,2,15.725,50.4224
154,0.043,0.095,0.355,0.002,4.834,0.172,4.069,0.48,0.117,0,3.496,0.269,0.2,50,3,3,6,6,0.38,2,23.2319,49.7193
101,0,0,0.074,0.002,0.836,0,5.965,0.733,0.113,0,6.025,0.006,0.538,55,3,3,6,6,0.63,2,18.5338,54.8861
