sample_id_int,cell_id,Area,CD3_Mean,CD8_Mean,CD19_Mean,CD68_Mean,CK_Mean,CD3 (Opal 540) Mean,CD8 (Opal 650) Mean,CD19 (Opal 480) Mean,CD68 (Opal 520) Mean,CK (Opal 780) Mean,IER3 (Opal 620) Mean, pStat3 (Opal 570) Mean, Ki67 (Opal 690) Mean, Dapi (DAPI) Mean,tsne_1,tsne_2,cell_type_inform_int,cell_type_manual_int,cell_type_auto_int,cell_type_FlowSOM_QC
3,1180,100,0,0,0,0,0,0.258,0.241,0,0.305,0.115,0.12,0.143,1.626,12.746,-29.74212,29.845234,5,6,6,6
3,1189,170,0,0,0.0007302,0,0.041,0.185,0.402,0.002,0.815,0.189,0.118,0.069,6.132,14.605,5.8588734,10.43801,5,6,6,6
3,1193,128,0,0,0,0,0.021,0.304,0.273,0.001,0.395,0.169,0.116,0.248,1.452,11.457,-27.601177,27.8234,5,6,6,6
3,1201,506,0,0,0,2.50E-06,0.059,0.277,0.294,0,0.604,0.224,0.138,0.126,1.476,8.838,-19.030891,-14.557606,5,6,6,6
3,1202,193,0,0,0,0,1.09E-05,0.283,0.294,0,0.568,0.161,0.126,0.09,2.045,14.028,-21.815243,26.267601,5,6,6,6
3,1208,338,0,0.0007667,0,0,0.082,0.368,0.277,0,0.549,0.315,0.181,0.156,0.19,8.432,-19.442427,-17.639696,5,6,6,6
3,1218,166,0,0,0.0005109,0,7.62E-06,0.208,0.463,0.002,0.717,0.14,0.11,0.046,5.608,22.161,-10.655581,32.18424,5,6,6,6
3,1220,534,0,0,0,0.001,0.093,0.292,0.308,0,0.727,0.27,0.145,0.106,1.657,12.07,-11.278509,-16.964867,5,6,5,6
3,1221,444,0,0,7.54E-05,0,0.084,0.188,0.183,0.001,0.457,0.219,0.097,0.067,0.072,3.696,-39.02587,3.822752,5,6,6,6
3,1226,158,0,0,0,0,6.67E-06,0.303,0.311,0,0.447,0.142,0.135,0.109,2.116,13.796,-23.438074,32.45581,5,6,6,6
3,1237,179,0,0,0.000232,0,0,0.203,0.488,0,0.755,0.143,0.108,0.047,5.47,23.19,-9.896305,32.182934,5,6,6,6
3,1246,293,0,0,0,0,0.068,0.295,0.266,0,0.626,0.373,0.16,0.161,0.277,5.648,-17.966797,-19.219662,5,6,6,6
3,1250,186,0,0,0,0,0.034,0.337,0.295,0,0.582,0.23,0.174,0.102,1.881,9.946,-18.630554,-15.57764,5,6,6,6
3,1251,93,0,0,0.0003148,0,0,0.237,0.469,0.002,0.879,0.158,0.122,0.061,6.549,16.224,7.0360227,11.529732,5,6,6,6
3,1257,81,0,0,0.0003618,0,0,0.22,0.467,0.002,0.654,0.138,0.101,0.04,6.087,16.392,-12.350626,32.632183,5,6,6,6
3,1275,109,0,0,0.0001102,0,0,0.181,0.478,0,1.019,0.16,0.102,0.065,5.24,13.161,9.871536,11.682311,5,6,6,6
3,1290,170,0,0,0.0004863,0,0,0.222,0.438,0.001,0.814,0.153,0.102,0.052,6.495,12.18,5.8834686,11.234597,5,6,6,6
3,1291,284,0,0,0.001,0,0.097,0.308,0.204,0.002,0.519,0.235,0.128,0.206,0.114,6.33,-34.093143,5.4862146,5,5,5,6
3,1294,216,0,0,0.0002718,0,0.094,0.189,0.379,0.002,0.805,0.216,0.102,0.066,5.685,8.365,2.536383,-4.526815,5,6,5,6
3,1359,205,0,0,3.08E-05,0,0.097,0.128,0.131,0.001,0.492,0.199,0.066,0.047,0.066,9.743,-45.028885,7.920464,5,5,5,6
3,1374,704,0.0002338,0,0,0.0003809,0.081,0.438,0.295,0,0.824,0.341,0.2,0.19,0.194,9.473,8.475101,-28.320463,5,6,6,6
3,1456,173,0,0,8.75E-05,0,0.004,0.178,0.2,0,0.543,0.186,0.098,0.023,0.175,18.17,-23.191584,16.42025,5,6,6,6
3,1457,212,0,0,5.97E-06,0,0.006,0.172,0.202,0,0.644,0.195,0.105,0.039,0.209,21.308,-12.666576,0.91435015,5,6,6,6
3,1472,371,0,0,0,2.72E-05,0.007,0.173,0.227,0,0.871,0.211,0.103,0.035,0.276,21.882,4.5709925,-6.1057615,5,6,6,6
3,1479,222,0,0,1.42E-05,6.28E-05,0.007,0.155,0.217,0,0.774,0.217,0.107,0.055,0.194,13.446,-2.6756206,-3.2454863,5,6,6,6
3,1550,136,0,0,6.04E-05,0,0.046,0.267,0.165,0,0.45,0.246,0.096,0.148,0.064,7.216,-36.170975,6.5501704,5,6,6,6
3,1583,346,0,0.002,0,0.0003107,0.062,0.218,0.239,0,0.492,0.247,0.122,0.075,0.162,6.865,-36.82642,1.442411,5,6,6,6
3,1612,260,0,0,0,0,2.19E-05,0.141,0.277,0,0.518,0.16,0.1,0.042,0.095,2.54,-22.045753,20.949745,5,6,6,6
3,1619,303,0,0,6.26E-06,0,0.006,0.308,0.419,0,0.73,0.193,0.154,0.509,5.173,13.772,-13.188551,28.617977,5,6,6,6
3,1620,470,0,0,1.07E-05,0,0.042,0.361,0.439,0,0.651,0.201,0.157,0.326,4.318,12.925,-13.479369,28.883816,5,6,6,6
3,1642,386,0,0,0,0,0.089,0.212,0.153,0,0.375,0.21,0.101,0.066,0.15,11.088,-38.893135,13.4571495,5,6,5,6
3,1644,161,0,0,0,0,0,0.21,0.144,0,0.326,0.14,0.094,0.108,0.197,11.716,-34.22355,26.697758,5,6,6,6
3,1650,204,0,0,0,0,0.059,0.383,0.42,0,0.718,0.227,0.167,0.391,4.37,14.166,-13.3676,28.651443,5,6,6,6
3,1659,151,0,0,0,0,0.001,0.341,0.396,0,0.663,0.177,0.167,0.458,3.97,12.029,-13.608221,28.896091,5,6,6,6
3,1674,122,0,0,0,0,0.055,0.221,0.169,0,0.413,0.194,0.091,0.131,0.127,10.013,-38.678352,13.426637,5,6,6,6
3,1840,598,0,0,2.11E-05,0,0.065,0.346,0.17,0,0.368,0.225,0.117,0.291,0.095,9.721,-35.9904,10.205286,5,6,6,6
3,1870,523,0,0,1.21E-05,0,0.025,0.31,0.179,0,0.366,0.211,0.116,0.265,0.113,10.968,-36.49142,10.515549,5,6,6,6
3,1928,468,2.71E-06,0.025,0,0,0.0001879,0.163,0.449,0,0.425,0.177,0.114,0.054,0.08,5.348,-19.508385,37.113712,5,6,6,6
3,1949,250,0,0,0,0.038,0.001,0.112,0.185,0.001,2.26,0.191,0.074,0.083,0.08,6.333,39.516026,17.491789,5,6,6,6
3,1971,90,0,0,0,0,0,0.235,0.398,0,0.445,0.144,0.096,0.059,4.736,18.657,-21.363434,34.293415,5,6,6,6
3,1983,326,0,0,0,0.059,0.098,0.307,0.262,0.001,2.408,0.336,0.138,0.088,0.115,5.432,36.884514,21.098011,5,5,5,6
3,1989,100,0,0,0,0,0,0.155,0.307,0,0.429,0.149,0.091,0.058,3.425,12.663,-27.597315,33.36286,5,6,6,6
3,1993,124,0,0,0,0,2.04E-05,0.219,0.343,0.001,0.45,0.149,0.117,0.073,3.798,18.032,-24.204897,33.383575,5,6,6,6
3,1995,117,0,0,0,0,0.08,0.289,0.18,0,0.576,0.205,0.143,0.106,0.113,8.507,-32.060616,4.0851808,5,6,6,6
3,2008,275,0,0,0,0,0.012,0.232,0.349,0,0.562,0.217,0.114,0.083,3.905,16.181,-20.815317,-12.340222,5,6,6,6
3,2015,497,0,0,0,0,0.095,0.234,0.191,0,0.42,0.25,0.106,0.166,0.096,4.751,-37.041916,7.0444326,5,5,5,6
3,2016,96,0,0,0,0,0.015,0.225,0.362,0,0.512,0.194,0.116,0.083,4.286,19.568,-20.472506,25.427698,5,6,6,6
3,2030,157,0,0,0,0,0.079,0.194,0.302,0,0.558,0.269,0.107,0.051,3.527,14.602,-22.025017,-13.542081,5,6,6,6
3,2084,133,0,0,0.0001315,0.03,0.003,0.156,0.376,0.001,1.978,0.162,0.073,0.05,4.393,15.295,23.493374,23.42607,5,6,6,6
3,2085,165,0,0,0.0009502,0.003,0.039,0.206,0.456,0.007,1.014,0.153,0.1,0.036,5.691,25.381,9.830581,11.590118,5,6,6,6
3,2124,83,0.0005751,3.81E-05,0,0,0.055,0.42,0.502,0,0.643,0.216,0.083,0.063,0.233,5.157,-9.85129,39.505928,5,6,6,6
3,2129,235,0,0,0,0,0.009,0.196,0.248,0,0.382,0.272,0.113,0.066,0.081,10.928,-57.330036,9.391851,5,6,6,6
3,2302,61,0,0,0.0002313,0,0.017,0.267,0.17,0.002,0.481,0.232,0.115,0.101,0.227,5.359,-35.737736,5.749636,5,6,6,6
4,152,476,0,0,2.12E-05,0,0.002,0.207,0.16,0.001,0.392,0.158,0.09,0.064,0.435,11.829,-32.292995,24.764486,5,6,6,6
4,153,306,0,0,1.79E-05,0,0,0.184,0.167,0.001,0.394,0.138,0.085,0.066,0.411,12.243,-32.852634,24.531742,5,6,6,6
4,159,318,0,0,0.0002094,0,0.073,0.178,0.263,0.002,0.518,0.181,0.084,0.117,4.411,11.096,-22.181093,21.743782,5,6,6,6
4,170,464,0,0,1.09E-05,0,3.47E-05,0.193,0.159,0,0.388,0.143,0.088,0.058,0.42,11.456,-32.78408,24.801004,5,6,6,6
4,180,471,0,0,0.0002269,0,0.02,0.19,0.263,0.001,0.498,0.174,0.099,0.099,2.733,11.427,-22.71708,22.152302,5,6,6,6
4,214,189,0,0,0.0002756,0,0.024,0.18,0.144,0,0.549,0.226,0.101,0.057,0.123,4.598,-33.545246,-3.3885117,5,6,6,6
4,236,122,0,0,0.0002059,0,0.071,0.206,0.233,0,0.581,0.207,0.108,0.1,1.094,6.635,-31.693037,-4.6161046,5,6,6,6
4,270,291,0,0.012,0.0005209,0.0003233,0.044,0.223,0.856,0.001,0.889,0.253,0.113,0.072,0.815,6.317,3.5359638,31.25889,5,6,6,6
4,355,319,0,0,0,0,0,0.204,0.169,0,0.462,0.126,0.1,0.137,0.47,12.21,-30.48069,22.537016,5,6,6,6
4,365,1427,0,0,9.75E-05,0,0.082,0.18,0.169,0,0.777,0.202,0.103,0.058,0.172,12.92,-2.0490901,-1.404705,5,6,6,6
4,377,136,0,0,0,0,0.012,0.173,0.164,0.001,0.451,0.148,0.1,0.136,0.445,10.554,-31.55817,21.955944,5,6,6,6
4,416,1336,0,0,0.0002672,0,0.061,0.26,0.19,0,0.556,0.179,0.1,0.076,0.218,9.986,-25.948833,22.670088,5,6,6,6
4,428,107,0,0,0.003,0,0.06,0.244,0.181,0.004,0.436,0.2,0.103,0.078,0.072,6.782,-36.681396,6.571401,5,6,6,6
4,570,607,0,0,0.000348,0,0.022,0.21,0.31,0,0.581,0.174,0.093,0.068,4.153,10.054,-18.8942,22.3919,5,6,6,6
4,611,133,0,0,0.0008751,0,0.002,0.177,0.29,0.001,0.545,0.176,0.076,0.062,3.582,7.587,-20.620258,21.494617,5,6,6,6
4,661,723,0,0,0.002,0,0.048,0.223,0.326,0.001,0.617,0.172,0.091,0.057,3.511,15.912,-18.132385,22.415462,5,6,6,6
4,667,423,0,0,0.0003349,0,0.017,0.196,0.311,0,0.563,0.155,0.086,0.044,2.738,15.28,-19.425314,22.403728,5,6,6,6
4,670,278,0,0,0.0002175,0,0,0.212,0.311,0,0.56,0.11,0.08,0.054,2.978,20.19,-19.540121,22.930237,5,6,6,6
4,688,277,0,0,0.0003451,0.002,0.036,0.194,0.302,0.001,0.775,0.212,0.101,0.057,3.165,14.668,1.7692338,-4.5315557,5,6,6,6
4,690,281,0,0.052,0.001,0,0.063,0.212,0.719,0,0.633,0.236,0.106,0.105,3.522,8.587,-5.8955164,29.337517,5,6,6,6
4,695,269,0.001,0.082,0.003,9.40E-06,0.011,0.294,0.907,0.001,0.667,0.177,0.091,0.048,2.581,13.056,1.3001031,35.99251,5,6,3,6
4,700,171,0,0.0001056,0.0005359,0,0,0.219,0.322,0.003,0.581,0.129,0.079,0.051,2.528,16.495,-19.087372,22.855259,5,6,6,6
4,710,1242,0,0,0.0006585,0.018,0.007,0.138,0.185,0.001,1.323,0.18,0.103,0.05,0.081,6.895,25.45689,-0.4304528,5,6,6,6
4,736,537,0,0.004,8.51E-05,0.005,0.051,0.233,0.33,0,0.801,0.244,0.102,0.043,1.981,16.294,2.1022413,-4.446483,5,6,6,6
4,773,220,0,0,0.0001004,0,0.017,0.214,0.245,0,0.517,0.218,0.101,0.053,1.188,17.474,-35.8485,2.2227385,5,6,6,6
4,776,141,0,0,0.0004378,0.0001121,0.001,0.264,0.36,0,0.693,0.161,0.09,0.035,2.648,20.245,-13.315403,20.455362,5,6,6,6
4,791,115,0,0,0.0001538,0,0,0.246,0.282,0.001,0.538,0.167,0.11,0.046,1.719,17.87,-21.980457,25.647436,5,6,6,6
4,798,148,0,0.002,0.0003056,0.056,0.026,0.309,0.472,0,2.192,0.248,0.111,0.055,2.159,11.669,24.95742,24.95065,5,6,6,6
4,828,106,0.001,0.006,0.002,0.137,0.012,0.594,0.701,0.003,2.061,0.254,0.131,0.103,0.964,12.736,22.179644,25.836782,5,6,4,6
4,834,560,0,0.0002622,0.0003251,0,0.076,0.274,0.332,0,0.546,0.19,0.125,0.063,2.353,14.302,-21.448776,26.194506,5,6,6,6
4,835,218,0.001,0.005,0.0005463,0.004,0.015,0.543,0.662,0,0.97,0.195,0.136,0.1,1.312,11.283,-2.7022047,40.962246,5,6,6,6
4,937,488,0,0,0.0001848,0.006,3.80E-05,0.206,0.185,0,2.674,0.192,0.112,0.06,0.102,10.69,40.9256,25.81493,5,6,6,6
4,1089,97,0,0,0,0,0.017,0.281,0.2,0,0.448,0.164,0.118,0.077,0.052,11.061,-28.21225,25.452087,5,6,6,6
4,1195,119,0,0,0,0,0.097,0.124,0.106,0,0.411,0.224,0.054,0.034,0.032,5.927,-45.896225,13.419233,5,5,5,6
4,1247,2062,0,0,0.0003171,0,0.076,0.184,0.246,0.001,0.485,0.18,0.082,0.051,2.016,9.269,-40.34934,9.89052,5,6,6,6
4,1388,183,0,0,0.0001312,0,0.084,0.267,0.162,0.002,0.46,0.246,0.105,0.139,0.06,5.544,-36.085667,6.3603544,5,6,6,6
4,1443,179,0,0,3.52E-05,0,0,0.208,0.154,0.001,0.308,0.143,0.095,0.06,0.065,11.09,-34.31811,26.950151,5,6,6,6
4,1514,440,0,0,5.74E-06,0,0.064,0.231,0.154,0,0.445,0.186,0.11,0.061,0.077,13.568,-30.97151,23.685553,5,6,6,6
4,1545,139,0,0,9.01E-05,0,0.011,0.28,0.195,0,0.406,0.189,0.095,0.11,0.146,12.888,-36.67933,10.408059,5,6,6,6
4,1685,38,0,0,0,0,0.042,0.256,0.129,0,0.605,0.22,0.083,0.147,0.656,8.949,-31.54393,-2.5716588,5,6,6,6
5,150,391,0,0,6.47E-06,0,0.095,0.124,0.142,0.001,0.566,0.25,0.081,0.054,0.144,7.315,-22.188234,-2.3769584,5,5,5,6
5,216,192,0,0,0,0,0.058,0.162,0.194,0.001,0.912,0.282,0.097,0.046,0.224,11.358,9.291211,-12.202431,5,6,6,6
5,218,258,0,0,7.82E-05,0,0.065,0.094,0.316,0,0.664,0.205,0.052,0.065,3.427,9.686,-9.462259,1.3620195,5,6,6,6
5,241,523,0,0,0.0001318,0,0.072,0.18,0.188,0.001,0.671,0.252,0.107,0.054,0.343,14.444,-14.381892,-10.027018,5,6,6,6
5,303,166,0,0,7.15E-05,0,0.034,0.16,0.151,0,0.754,0.226,0.082,0.059,0.101,11.177,-2.5427945,-1.9560839,5,6,6,6
5,324,483,0,0,2.62E-06,0,0.059,0.097,0.177,0,0.501,0.243,0.066,0.053,0.911,5.918,-46.73465,3.395314,5,6,6,6
5,443,495,0,0,7.97E-05,0.167,0.094,0.166,0.189,0,5.37,0.286,0.113,0.098,0.186,9.519,61.76318,24.104807,5,6,4,6
5,455,357,0,0,3.90E-05,0.03,0.074,0.182,0.198,0,1.901,0.251,0.124,0.074,0.587,10.24,38.502422,7.3794737,5,6,5,6
5,473,963,0,0,0.0001656,0,0.082,0.129,0.212,0.002,0.612,0.227,0.089,0.049,1.087,10.417,-19.421013,1.522275,5,6,6,6
5,568,184,0,0,0.0001511,0.159,0.024,0.142,0.225,0,4.885,0.222,0.081,0.113,0.893,11.261,59.596947,29.748688,5,6,4,6
5,589,236,0,0,8.02E-05,0.025,0.065,0.128,0.17,0,1.791,0.239,0.07,0.073,0.829,8.455,37.558,5.454093,5,6,6,6
5,602,316,0,0,1.60E-05,0.0002126,0.036,0.165,0.224,0,0.87,0.246,0.087,0.056,1.259,9.005,3.8643963,-8.431067,5,6,6,6
5,623,75,0,0,0,0,0,0.099,0.082,0,0.479,0.116,0.049,0.045,0.039,6.747,-29.23282,14.002103,5,6,6,6
5,664,260,0,0,0,0,2.37E-05,0.115,0.142,0,0.728,0.129,0.048,0.048,0.059,6.499,-13.933141,11.414604,5,6,6,6
5,680,329,0,0,0.009,0.021,0,0.14,0.138,0.004,1.659,0.114,0.05,0.085,0.044,7.251,32.355804,5.5654073,5,6,6,6
5,780,372,0,0,0.0001171,0,0.06,0.082,0.164,0.002,0.657,0.269,0.122,0.049,0.937,2.955,-15.239951,-1.4788667,5,6,6,6
5,783,249,0,0,8.62E-05,0.003,0.084,0.211,0.329,0,1.586,0.261,0.1,0.055,3.663,13.827,34.065094,1.1916616,5,6,6,6
5,846,200,0,0,0.0002534,0.001,0.07,0.174,0.277,0.001,1.977,0.26,0.105,0.07,3.293,7.074,36.45323,12.676552,5,6,6,6
5,866,129,0,0,0.000142,0,0.081,0.103,0.261,0.002,0.557,0.215,0.085,0.063,2.799,8.14,-26.034803,3.215837,5,6,6,6
5,885,190,0,0,1.33E-05,0,0.077,0.116,0.156,0.001,0.672,0.301,0.093,0.061,0.223,6.543,-11.051477,-7.4245467,5,6,6,6
5,964,395,0,0,6.40E-06,9.81E-05,0.095,0.147,0.184,0,1.232,0.274,0.106,0.05,0.427,7.02,22.942583,-4.588296,5,5,5,6
5,1003,255,2.98E-05,2.95E-05,0.01,0.000149,0.055,0.278,0.357,0.01,1.503,0.271,0.248,0.146,0.092,2.951,36.811604,-10.154623,5,6,6,6
5,1030,550,0,0,0.0003449,8.47E-05,0.031,0.16,0.248,0.001,1.04,0.201,0.101,0.051,1.951,13.406,11.284306,-5.6778145,5,6,6,6
5,1049,387,0,0,7.02E-05,0.0004482,0.097,0.141,0.248,0.001,1.259,0.255,0.099,0.07,2.306,12.017,23.90859,-3.262977,5,5,5,6
5,1098,396,0,0,5.90E-05,0.005,0.008,0.184,0.181,0,1.058,0.195,0.106,0.04,0.416,11.328,12.438418,-5.332758,5,6,6,6
5,1141,140,0,0,0,0,0.023,0.152,0.14,0,0.729,0.212,0.097,0.055,0.191,8.372,-2.828211,-1.7688751,5,6,6,6
5,1142,105,0,0,0,0,0.001,0.157,0.139,0,0.791,0.16,0.093,0.06,0.349,13.808,-1.1491307,0.72424483,5,6,6,6
5,1160,73,0,0,0,0,0.057,0.14,0.184,0,0.748,0.271,0.088,0.064,0.295,10.32,-3.6791544,-9.828149,5,6,6,6
5,1421,75,0,0,0,0,0.013,0.095,0.186,0,0.726,0.242,0.072,0.081,0.575,10.539,-6.85586,-4.489749,5,6,6,6
5,1498,300,0,0,0.0008746,0,0.044,0.173,0.317,0.004,0.513,0.189,0.09,0.054,3.525,10.665,-21.316248,21.971651,5,6,6,6
5,1499,363,0,0,0.0003158,0,0.082,0.148,0.242,0.001,0.63,0.278,0.092,0.044,1.633,4.905,-17.633877,-5.307547,5,6,6,6
5,1714,300,0,0,0,9.99E-05,0.075,0.176,0.154,0,0.95,0.232,0.093,0.037,0.149,13.068,10.207749,-8.624764,5,6,6,6
5,1755,222,0,0,0.0005713,0,0.03,0.122,0.242,0.001,0.756,0.244,0.076,0.049,3.543,12.763,-4.5226626,-3.9121172,5,6,6,6
5,1936,606,0,0,0.002,0.043,0.07,0.102,0.134,0.004,3.101,0.192,0.05,0.069,0.047,6.073,42.488026,32.832016,5,6,5,6
5,2088,190,0,0,0.0002415,0,0.005,0.178,0.319,0,0.948,0.21,0.12,0.045,2.229,20.823,6.595511,-4.8746896,5,6,6,6
5,2146,206,0,0,0,4.29E-05,0,0.092,0.089,0,0.661,0.111,0.033,0.033,0.03,7.685,-16.49874,11.086122,5,6,6,6
5,2220,141,0,0.018,0.0001433,1.79E-05,0.011,0.231,0.715,0,1.217,0.222,0.178,0.059,2.486,13.283,12.341395,19.086752,5,6,6,6
5,2328,596,0,0,6.18E-05,0.002,0.061,0.13,0.223,0.001,1.362,0.223,0.072,0.05,2.129,8.753,27.23388,-1.3109028,5,6,6,6
5,2838,265,0,0,2.86E-05,4.77E-06,0.002,0.152,0.182,0.001,0.831,0.171,0.082,0.047,0.392,11.004,3.9233992,0.2122779,5,6,6,6
5,2849,117,0,0,0.006,0,0.029,0.082,0.149,0.039,0.614,0.266,0.057,0.029,0.241,7.018,-21.330585,-3.9740806,5,6,6,6
5,2873,64,0,0,0,0,0.024,0.218,0.204,0,0.737,0.284,0.116,0.057,0.18,12.134,-9.720481,-14.983435,5,6,6,6
6,122,111,0,0,0,0,0.055,0.091,0.229,0,0.568,0.243,0.061,0.078,1.71,7.48,-23.39078,2.0380173,5,6,6,6
6,147,130,0,0,0,0,0.002,0.151,0.243,0,0.686,0.201,0.065,0.049,1.306,15.322,-10.445433,0.21199858,5,6,6,6
6,161,156,0,0,0,0,0.021,0.119,0.228,0,0.667,0.221,0.087,0.059,1.076,12.522,-10.651037,-0.66118675,5,6,6,6
6,178,181,0,0,1.75E-05,0,0.009,0.144,0.213,0.001,0.746,0.229,0.082,0.057,0.556,7.82,-3.6379983,-3.1233907,5,6,6,6
6,196,673,0,0,0.0001569,0.023,0.095,0.116,0.173,0.003,1.318,0.232,0.093,0.053,0.167,14.768,25.461842,-1.5674088,5,5,5,6
6,270,331,0,0,3.43E-05,2.29E-05,0.003,0.161,0.226,0.001,0.86,0.209,0.076,0.048,0.887,14.954,4.4415073,-5.9763722,5,6,6,6
6,291,327,0,0,0,0.128,0.08,0.098,0.162,0.001,2.705,0.232,0.051,0.057,0.496,2.482,39.41921,27.227142,5,6,4,6
6,297,98,0,0,0,0,0.007,0.087,0.347,0,0.623,0.178,0.054,0.09,4.148,6.324,-16.826847,20.538761,5,6,6,6
6,299,166,0,0,0,0,0,0.094,0.139,0,0.619,0.109,0.044,0.053,0.626,12.554,-18.532835,11.7203665,5,6,6,6
6,301,215,0,0,4.11E-05,0.004,0.082,0.155,0.194,0,2.132,0.271,0.09,0.07,0.216,6.107,37.053745,15.823451,5,6,6,6
6,332,203,0,0,0,0.00035,0.069,0.141,0.193,0,1.073,0.265,0.104,0.057,0.321,5.193,17.82198,-7.317603,5,6,6,6
6,346,273,0,0,5.09E-05,0,0.057,0.123,0.173,0,0.774,0.277,0.083,0.055,0.415,8.217,-1.0922459,-13.509218,5,6,6,6
6,355,516,0,0,0.0002213,0,0.019,0.072,0.254,0.001,0.496,0.167,0.046,0.052,3.239,8.857,-25.111872,18.953428,5,6,6,6
6,360,472,0,0,6.40E-05,0.0001299,0.007,0.17,0.185,0,0.99,0.212,0.099,0.058,0.254,19.087,10.732793,-8.021497,5,6,6,6
6,374,163,0,0,3.10E-05,0,0.091,0.092,0.289,0.001,0.529,0.232,0.068,0.055,3.55,9.779,-27.946589,3.3001792,5,6,5,6
6,382,257,0,0,0,0,0,0.103,0.157,0.001,0.464,0.108,0.036,0.049,1.042,7.85,-35.409267,19.36973,5,6,6,6
6,388,40,0,0,0.0001585,0,0.076,0.15,0.26,0,0.459,0.26,0.076,0.078,4.34,7.284,-52.460003,3.0126731,5,6,6,6
6,406,265,0,0,4.78E-06,0,0.077,0.13,0.164,0,0.685,0.272,0.091,0.055,0.198,9.216,-10.023559,-5.5385337,5,6,6,6
6,412,220,0,0,1.15E-05,0,0.085,0.155,0.212,0,0.818,0.264,0.102,0.06,0.43,12.331,0.628222,-8.769817,5,6,6,6
6,421,206,0,0,0,0.012,0.085,0.118,0.157,0,1.026,0.232,0.096,0.056,0.117,7.817,11.5463,-6.3514075,5,6,6,6
6,437,177,0,0,2.85E-05,0,0.0007186,0.163,0.341,0,0.843,0.163,0.112,0.06,2.976,13.581,5.8753014,8.97799,5,6,6,6
6,438,620,0,0,0,0,0.066,0.117,0.189,0,0.626,0.246,0.086,0.051,1.064,8.699,-17.804232,-0.27763346,5,6,6,6
6,468,494,0,0,0,0,0.016,0.112,0.136,0,0.695,0.163,0.061,0.045,0.433,6.201,-15.153816,12.048598,5,6,6,6
6,517,70,0,0,0,0,0.011,0.142,0.189,0,1.208,0.247,0.079,0.05,0.129,9.297,22.137932,-4.0769715,5,6,6,6
6,523,63,0,0,0,0,0.032,0.142,0.184,0,0.878,0.282,0.075,0.064,0.115,5.993,5.28012,-9.7020035,5,6,6,6
6,536,349,0,0,0.0004573,9.16E-05,0.011,0.157,0.223,0.002,1.097,0.209,0.087,0.055,0.981,14.178,17.455112,-5.4117823,5,6,6,6
6,553,533,0,0,9.47E-06,1.78E-05,0.08,0.104,0.141,0,0.713,0.245,0.074,0.052,0.098,9.775,-8.61178,-5.322138,5,6,6,6
6,563,317,0,0,3.99E-06,0,0.08,0.093,0.222,0.001,0.603,0.24,0.077,0.051,1.782,6.647,-20.323874,1.8797522,5,6,6,6
6,656,63,0,0,0,0.103,0.018,0.179,0.408,0,3.077,0.251,0.064,0.1,4.35,10.171,39.23209,33.98647,5,6,6,6
6,662,126,0,0,0.0001303,0.011,0.049,0.151,0.257,0,2.048,0.247,0.108,0.086,2.524,8.715,36.98532,13.725479,5,6,6,6
6,774,133,0,0,0,0,0.086,0.126,0.134,0,0.767,0.254,0.076,0.052,0.19,9.286,-4.611954,-6.6241517,5,6,6,6
6,797,251,0,0,1.01E-05,0,0.006,0.126,0.21,0,0.821,0.208,0.074,0.06,1.274,10.545,-0.7645549,-4.1575775,5,6,6,6
6,848,227,0.006,0,0,0,0.088,0.482,0.117,0,0.49,0.252,0.072,0.049,0.081,7.506,-32.55797,9.024834,5,6,5,6
6,938,586,0,0,0,0.015,0.046,0.107,0.118,0,1.057,0.235,0.059,0.048,0.052,6.662,12.314809,-5.720548,5,6,6,6
6,965,159,0,0,0,0,0.0006789,0.169,0.203,0,0.908,0.181,0.096,0.055,0.338,10.987,5.5726886,0.303175,5,6,6,6
6,976,480,0,0,0,0.0006871,0.026,0.146,0.155,0,0.873,0.196,0.079,0.054,0.354,12.402,5.0081186,0.100131534,5,6,6,6
6,998,252,0,0,0,0,0.026,0.067,0.101,0.001,0.552,0.25,0.046,0.053,0.039,5.754,-22.070013,-3.0065553,5,6,6,6
6,1045,361,0,0,0.001,0.000202,0,0.134,0.101,0.001,1.098,0.106,0.036,0.038,0.053,4.816,12.497161,1.6720173,5,6,6,6
6,1073,82,0,0,0.062,0,0,0.151,0.104,0.043,0.74,0.108,0.048,0.025,0.047,4.482,-13.393457,10.642191,5,6,6,6
6,1364,337,0,0,1.12E-05,0.09,0.066,0.166,0.191,0,2.424,0.265,0.117,0.044,0.435,11.998,38.367702,21.549736,5,6,4,6
6,1401,530,0,0,0.0001494,0.000186,0.006,0.168,0.36,0,0.954,0.195,0.161,0.055,3.288,16.728,8.168661,7.74449,5,6,6,6
6,1948,107,0,0,1.18E-05,0,0.0002269,0.098,0.212,0.001,0.397,0.172,0.053,0.033,1.9,9.017,-48.584747,13.236337,5,6,6,6
6,2277,171,0,0,0,2.96E-05,0.096,0.087,0.194,0,1.096,0.279,0.055,0.055,1.743,3.578,18.0215,-7.6960187,5,5,5,6
6,2327,77,0,0,0,0,0.099,0.168,0.218,0,0.852,0.299,0.099,0.058,0.831,10.845,3.246205,-12.819182,5,5,5,6
7,164,298,0,1.27E-05,0,0,0.022,0.196,0.629,0,0.7,0.152,0.111,0.15,0.155,7.872,-6.879296,32.52001,5,6,6,6
