sample_id_int,cell_id,Area,CD3_Mean,CD8_Mean,CD19_Mean,CD68_Mean,CK_Mean,CD3 (Opal 540) Mean,CD8 (Opal 650) Mean,CD19 (Opal 480) Mean,CD68 (Opal 520) Mean,CK (Opal 780) Mean,IER3 (Opal 620) Mean, pStat3 (Opal 570) Mean, Ki67 (Opal 690) Mean, Dapi (DAPI) Mean,tsne_1,tsne_2,cell_type_inform_int,cell_type_manual_int,cell_type_auto_int,cell_type_FlowSOM_QC
11,963,308,0,0.0005026,0.008,0.148,0.002,0.129,0.412,0.001,7.773,0.219,0.035,0.117,0.065,5.875,61.986584,3.3042274,4,4,4,6
1,915,425,0,7.13E-05,0.0002127,0.128,0.0001312,0.3,0.915,0.001,6.835,0.164,0.402,0.161,0.193,3.71,59.514633,12.146389,4,4,4,6
1,635,523,0,0,0,0.129,2.42E-06,0.148,0.576,0,6.943,0.163,0.15,0.156,0.122,3.608,60.641674,11.064733,4,4,4,6
6,932,605,0,0,4.70E-05,0.149,0,0.089,0.163,0,6.865,0.125,0.031,0.068,0.944,4.847,63.50893,10.283251,4,4,4,6
5,2287,291,0.0008766,0,0.0001519,0.148,0,0.129,0.246,0.003,9.263,0.13,0.039,0.087,1.903,4.853,61.41539,-6.0000715,4,4,4,6
5,2760,494,5.70E-05,0,0.002,0.148,0,0.145,0.177,0.002,6.883,0.133,0.057,0.075,0.325,6.804,63.458652,10.195665,4,4,4,6
8,799,465,0.031,0.000115,0,0.145,0,0.333,0.754,0,6.159,0.123,0.103,0.212,0.388,7.363,59.788326,15.774909,4,4,4,6
5,2279,205,0.119,0,0,0.144,0,0.392,0.167,0.002,8.903,0.129,0.034,0.115,0.143,5.912,61.366375,-3.949369,4,4,4,6
4,580,408,0.014,0.016,0.004,0.141,0,0.25,0.329,0.004,6.387,0.126,0.07,0.109,0.065,7.822,63.567394,14.257687,4,4,4,6
5,2460,387,0.062,2.29E-05,1.31E-05,0.136,0,0.359,0.17,0.002,6.348,0.127,0.048,0.082,0.056,7.122,64.10795,14.66236,4,4,4,6
6,235,308,0.01,0.001,0,0.122,0,0.291,0.326,0.002,7.834,0.12,0.035,0.147,0.102,4.543,61.898636,2.7751248,4,4,6,6
7,602,192,0.013,0.127,0,0.115,0,0.333,1.488,0.001,6.924,0.143,0.121,0.177,0.385,7.402,58.042103,12.918897,4,4,3,6
5,2212,312,0.0002141,0,0,0.114,0,0.162,0.157,0,8.081,0.128,0.044,0.071,0.049,5.819,61.73287,1.1133295,4,4,6,6
5,2543,259,0.0008218,0.0001495,0,0.103,0,0.107,0.156,0.001,7.439,0.124,0.031,0.063,0.045,3.336,62.901436,5.8741736,4,4,6,6
5,2233,549,0.003,0.002,5.14E-05,0.099,0,0.129,0.334,0.004,7.161,0.13,0.042,0.104,0.635,4.185,62.637257,7.6905465,4,6,6,6
6,248,148,1.71E-05,0,0,0.099,0,0.132,0.179,0,8.818,0.127,0.036,0.099,0.09,5.462,61.3894,-3.5344443,4,6,6,6
6,1436,196,0,0,0,0.098,0,0.103,0.133,0.001,11.433,0.123,0.032,0.092,0.075,2.969,61.076824,-15.083079,4,6,6,6
5,2288,482,0.025,0.001,0,0.072,0,0.357,0.409,0,5.824,0.127,0.059,0.107,0.048,5.795,61.570236,18.329956,4,6,6,6
5,2141,577,0.01,0.006,6.58E-06,0.07,0,0.188,0.253,0.001,6.024,0.128,0.055,0.087,0.053,6.005,63.93852,17.393192,4,6,6,6
5,2332,567,0.061,0,0,0.056,0,0.262,0.146,0.001,5.766,0.13,0.068,0.072,0.051,5.483,63.988796,19.9678,4,6,4,6
6,983,232,0,0,6.12E-05,0.035,0,0.088,0.141,0.002,10.396,0.122,0.025,0.108,0.076,3.202,61.25093,-11.166831,4,6,6,6
6,2089,764,0.0002597,0,6.61E-06,0.03,0,0.106,0.151,0.001,5.488,0.128,0.032,0.081,0.07,5.32,62.890083,23.210049,4,6,6,6
6,997,252,0,0,0,0.02,0,0.128,0.132,0,8.333,0.124,0.038,0.08,0.784,4.601,61.429943,-0.52055025,4,6,6,6
6,921,303,4.17E-06,0,1.25E-05,0.012,0,0.202,0.192,0,6.848,0.129,0.047,0.083,0.333,5.928,63.474377,10.46712,4,6,6,6
1,24,142,0,0.0001611,0,0,0.043,0.314,0.66,0,1.33,0.584,0.252,0.154,0.116,1.888,13.807182,23.380207,5,6,6,6
