original,Gaussian_blur_2.0,Gaussian_blur_4.0,Entropy_2_64,Entropy_2_128,Entropy_2_256,class
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0.000003,0,0,0,'class 2'
0,0,0.000035,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0.000006,0,0,0,'class 2'
0,0,0.00007,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0.000008,0,0,0,'class 2'
0,0,0.0001,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0.000008,0,0,0,'class 2'
0,0,0.000101,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0.000006,0,0,0,'class 2'
0,0,0.000074,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0.000004,0,0,0,'class 2'
0,0,0.000048,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0.000004,0,0,0,'class 2'
0,0,0.000053,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0.000007,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0.00001,0,0,0,'class 2'
0,0.245429,0.262077,0.721928,0.963746,0.963746,'class 1'
1,0.503776,0.284513,0.721928,0.963746,0.963746,'class 1'
0,0.348376,0.26872,0.721928,0.963746,0.963746,'class 1'
0,0.131033,0.268487,0.721928,0.721928,0.963746,'class 1'
0,0.192645,0.259359,0.721928,0.963746,0.963746,'class 1'
0,0.198367,0.251224,0.721928,0.963746,0.963746,'class 1'
0,0.124972,0.230206,0.721928,0.963746,0.963746,'class 1'
0,0.173081,0.209443,0.591673,0.591673,0.591673,'class 1'
3,0.91744,0.339794,0.60984,0.60984,0.856996,'class 1'
0,0.426039,0.32762,0.811278,0.811278,1.048841,'class 1'
0,0.214363,0.287127,0.811278,0.811278,1.048841,'class 1'
1,0.379919,0.254894,0.702467,0.702467,0.702467,'class 1'
0,0.183339,0.224196,0.702467,0.702467,0.702467,'class 1'
0,0.032678,0.197387,0.791858,0.791858,0.791858,'class 1'
0,0.037799,0.19228,0.791858,0.791858,0.791858,'class 1'
0,0.089477,0.205233,0.863121,0.863121,0.863121,'class 1'
0,0.182065,0.214338,0.791858,0.791858,0.791858,'class 1'
1,0.600762,0.306687,0.60984,0.60984,0.856996,'class 1'
0,0.29234,0.298248,0.721928,0.721928,0.963746,'class 1'
0,0.244166,0.266906,0.721928,0.721928,0.963746,'class 1'
0,0.177767,0.200193,0.591673,0.591673,0.591673,'class 1'
0,0.285657,0.231598,0.702467,0.702467,0.702467,'class 1'
1,0.364233,0.258441,0.791858,0.791858,0.791858,'class 1'
0,0.264786,0.265089,0.811278,1.048841,1.048841,'class 1'
0,0.199628,0.241097,0.468996,0.468996,0.722858,'class 1'
0,0.088756,0.232933,0.721928,0.721928,0.963746,'class 1'
0,0.177545,0.212315,0.702467,0.702467,0.702467,'class 1'
1,0.426134,0.251311,0.702467,0.702467,0.702467,'class 1'
0,0.36339,0.292564,0.721928,0.963746,0.963746,'class 1'
1,0.427133,0.321661,0.811278,1.048841,1.048841,'class 1'
0,0.415136,0.318475,0.811278,1.048841,1.048841,'class 1'
0,0.147633,0.210395,0.468996,0.722858,0.722858,'class 1'
0,0.03193,0.193926,0.60984,0.856996,0.856996,'class 1'
0,0.059148,0.164549,0.453716,0.453716,0.453716,'class 1'
0,0.420697,0.34722,0.881291,1.11552,1.11552,'class 1'
2,0.726382,0.366939,0.811278,1.048841,1.048841,'class 1'
0,0.421737,0.331915,0.811278,1.048841,1.048841,'class 1'
0,0.292009,0.243274,0.468996,0.722858,0.722858,'class 1'
0,0.12027,0.218909,0.60984,0.856996,0.856996,'class 1'
0,0.026745,0.163679,0.468996,0.722858,0.722858,'class 1'
0,0.359992,0.331394,0.811278,1.048841,1.048841,'class 1'
1,0.652788,0.366896,0.811278,1.048841,1.048841,'class 1'
1,0.493535,0.354273,0.881291,1.11552,1.11552,'class 1'
0,0.249453,0.309061,0.881291,1.11552,1.11552,'class 1'
2,0.648066,0.3125,0.742488,1.125491,1.125491,'class 1'
0,0.353376,0.288053,0.629249,1.023037,1.023037,'class 1'
0,0.146781,0.205928,0.60984,0.856996,0.856996,'class 1'
0,0.35471,0.33042,0.721928,0.963746,0.963746,'class 1'
0,0.31379,0.348706,0.811278,1.048841,1.048841,'class 1'
0,0.25066,0.340453,0.881291,1.11552,1.11552,'class 1'
1,0.405863,0.306808,0.811278,1.048841,1.048841,'class 1'
1,0.76734,0.360727,0.629249,1.023037,1.023037,'class 1'
0,0.550088,0.341128,0.629249,1.023037,1.023037,'class 1'
1,0.331839,0.245879,0.629249,1.023037,1.023037,'class 1'
0,0.199279,0.299305,0.863121,0.863121,0.863121,'class 1'
1,0.306567,0.352628,0.970951,1.20091,1.20091,'class 1'
0,0.302926,0.380976,0.934068,1.165784,1.165784,'class 1'
0,0.426759,0.364787,0.881291,1.11552,1.11552,'class 1'
0,0.287078,0.289064,0.721928,0.963746,0.963746,'class 1'
2,0.757144,0.348435,0.742488,1.125491,1.125491,'class 1'
1,0.591697,0.332086,0.629249,1.023037,1.023037,'class 1'
0,0.260541,0.244368,0.721928,0.963746,0.963746,'class 1'
0,0.234692,0.300804,0.863121,0.863121,0.863121,'class 1'
0,0.371238,0.378881,0.881291,1.11552,1.11552,'class 1'
0,0.518572,0.426033,0.970951,1.20091,1.20091,'class 1'
2,0.742561,0.415833,0.934068,1.165784,1.165784,'class 1'
0,0.420047,0.335232,0.881291,1.11552,1.11552,'class 1'
0,0.243316,0.270316,0.881291,1.11552,1.11552,'class 1'
0,0.126262,0.204853,0.60984,0.856996,0.856996,'class 1'
